"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","fe80::8fd:f725:e757:7550","ff02::fb","MDNS","438","Standard query response 0x0000 PTR Ram�\200\231s MacBook Pro._companion-link._tcp.local TXT TXT, cache flush AAAA, cache flush fe80::8fd:f725:e757:7550 A, cache flush 192.168.0.148 SRV, cache flush 0 0 62339 Rams-MacBook-Pro.local NSEC, cache flush Ram�\200\231s MacBook Pro._companion-link._tcp.local NSEC, cache flush Rams-MacBook-Pro.local"
"2","0.000002","b2:d2:bc:27:5f:7a","Broadcast","ARP","60","Who has 192.168.1.149? Tell 192.168.0.146"
"3","0.000002","b2:d2:bc:27:5f:7a","Broadcast","ARP","60","Who has 192.168.0.11? Tell 192.168.0.146"
"4","0.002588","fe80::1ca0:9d8e:36e4:76cb","ff02::fb","MDNS","458","Standard query response 0x0000 PTR Prashansa�\200\231s MacBook Pro._companion-link._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 59568 Prashansas-MacBook-Pro.local AAAA, cache flush fe80::1ca0:9d8e:36e4:76cb A, cache flush 192.168.0.17 NSEC, cache flush Prashansa�\200\231s MacBook Pro._companion-link._tcp.local NSEC, cache flush Prashansas-MacBook-Pro.local"
"5","0.002589","fe80::c57:69cc:f203:766a","ff02::fb","MDNS","146","Standard query 0x0000 PTR _hap._udp.local, ""QM"" question PTR _hap._tcp.local, ""QM"" question PTR 8d7f07b1._sub._apple-mobdev2._tcp.local, ""QM"" question"
"6","0.004665","fe80::1ce2:3f4b:9264:a09c","ff02::fb","MDNS","450","Standard query response 0x0000 PTR Monisha�\200\231s MacBook Pro._companion-link._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 60711 Monishas-MacBook-Pro.local AAAA, cache flush fe80::1ce2:3f4b:9264:a09c A, cache flush 192.168.0.10 NSEC, cache flush Monisha�\200\231s MacBook Pro._companion-link._tcp.local NSEC, cache flush Monishas-MacBook-Pro.local"
"7","0.004666","fe80::1847:3ce:e26d:a452","ff02::fb","MDNS","221","Standard query response 0x0000 PTR Samarth�\200\231s MacBook Pro._companion-link._tcp.local TXT"
"8","0.006131","ASUSTekCOMPU_6c:77:4d","Broadcast","ARP","60","Who has 8.8.8.8? Tell 192.168.49.1"
"9","0.007898","fe80::b3:acfa:f7a6:8c9d","ff02::fb","MDNS","561","Standard query response 0x0000 TXT PTR Amritanshu�\200\231s MacBook Pro._rfb._tcp.local PTR Amritanshu�\200\231s MacBook Pro._companion-link._tcp.local TXT, cache flush SRV, cache flush 0 0 5900 Amritanshus-MacBook-Pro.local TXT, cache flush AAAA, cache flush fe80::b3:acfa:f7a6:8c9d A, cache flush 192.168.1.106 SRV, cache flush 0 0 56370 Amritanshus-MacBook-Pro.local NSEC, cache flush Amritanshu�\200\231s MacBook Pro._rfb._tcp.local NSEC, cache flush Amritanshu�\200\231s MacBook Pro._companion-link._tcp.local NSEC, cache flush Amritanshus-MacBook-Pro.local"
"10","0.013498","172.253.118.109","192.168.0.122","TCP","66","993  >  53667 [ACK] Seq=1 Ack=1 Win=1050 Len=0 TSval=1533795179 TSecr=1794587128"
"11","0.015862","172.253.118.109","192.168.0.122","TCP","74","993  >  53669 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM TSval=3606040153 TSecr=1064344153 WS=256"
"12","0.015863","172.253.118.109","192.168.0.122","TCP","66","993  >  53667 [ACK] Seq=1 Ack=2 Win=1050 Len=0 TSval=1533795184 TSecr=1794587129"
"13","0.015935","192.168.0.122","172.253.118.109","TCP","66","53669  >  993 [ACK] Seq=1 Ack=1 Win=44 Len=0 TSval=1064344207 TSecr=3606040153"
"14","0.016502","192.168.0.122","172.253.118.109","TLSv1.2","272","Client Hello (SNI=imap.gmail.com)"
"15","0.059764","172.253.118.109","192.168.0.122","TCP","66","993  >  53669 [ACK] Seq=1 Ack=207 Win=268800 Len=0 TSval=3606040207 TSecr=1064344207"
"16","0.059766","172.253.118.109","192.168.0.122","TLSv1.2","1466","Server Hello"
"17","0.059887","192.168.0.122","172.253.118.109","TCP","66","53669  >  993 [ACK] Seq=207 Ack=1401 Win=44 Len=0 TSval=1064344251 TSecr=3606040208"
"18","0.060858","172.253.118.109","192.168.0.122","TCP","1466","993  >  53669 [PSH, ACK] Seq=1401 Ack=207 Win=268800 Len=1400 TSval=3606040208 TSecr=1064344207 [TCP PDU reassembled in 25]"
"19","0.060905","192.168.0.122","172.253.118.109","TCP","66","53669  >  993 [ACK] Seq=207 Ack=2801 Win=66 Len=0 TSval=1064344252 TSecr=3606040208"
"20","0.104980","fe80::ce3:a9b1:a94b:cd61","ff02::fb","MDNS","453","Standard query response 0x0000 PTR Prafulla�\200\231s MacBook Pro._companion-link._tcp.local TXT TXT, cache flush AAAA, cache flush fe80::ce3:a9b1:a94b:cd61 A, cache flush 192.168.1.105 SRV, cache flush 0 0 65121 Prafullas-MacBook-Pro.local NSEC, cache flush Prafulla�\200\231s MacBook Pro._companion-link._tcp.local NSEC, cache flush Prafullas-MacBook-Pro.local"
"21","0.109123","fe80::83f:fc38:1b03:45c8","ff02::fb","MDNS","361","Standard query 0x0000 ANY Radhika�\200\231s MacBook Pro (2)._airplay._tcp.local, ""QM"" question ANY 5A29F62E8200@Radhika�\200\231s MacBook Pro (2)._raop._tcp.local, ""QM"" question ANY Radhikas-MacBook-Pro.local, ""QM"" question ANY Radhika�\200\231s MacBook Pro (2)._companion-link._tcp.local, ""QM"" question SRV 0 0 7000 Radhikas-MacBook-Pro.local SRV 0 0 7000 Radhikas-MacBook-Pro.local AAAA fe80::83f:fc38:1b03:45c8 A 192.168.0.146 SRV 0 0 50930 Radhikas-MacBook-Pro.local"
"22","0.110755","fe80::18fb:1b43:3db7:f1be","ff02::fb","MDNS","443","Standard query response 0x0000 PTR Vinnie's Macbook Pro._companion-link._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 64721 Vinnies-Macbook-Pro.local AAAA, cache flush fe80::18fb:1b43:3db7:f1be A, cache flush 192.168.1.202 NSEC, cache flush Vinnie's Macbook Pro._companion-link._tcp.local NSEC, cache flush Vinnies-Macbook-Pro.local"
"23","0.110756","b2:d2:bc:27:5f:7a","Broadcast","ARP","60","Who has 192.168.1.183? Tell 192.168.0.146"
"24","0.112787","fe80::10ee:6a2c:ca89:a307","ff02::fb","MDNS","373","Standard query response 0x0000 PTR F74B9D76-D842-40B3-852D-0768DD93F293._remotepairing._tcp.local TXT, cache flush SRV, cache flush 0 0 49152 Rupams-iPhone-16.local AAAA, cache flush fe80::10ee:6a2c:ca89:a307 A, cache flush 192.168.0.232 NSEC, cache flush F74B9D76-D842-40B3-852D-0768DD93F293._remotepairing._tcp.local NSEC, cache flush Rupams-iPhone-16.local"
"25","0.112787","172.253.118.109","192.168.0.122","TLSv1.2","1336","Certificate, Server Key Exchange, Server Hello Done"
